"","UBIGEO","REGION","PROVINCIA","DISTRITO","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+","TD_0_14","TD_60_MAS","TD_15_59","TDD_0_14","TDD_15_64","TDD_65_MAS","TDD_PER","TDD_JOVE","TDD_VEJEZ","TASA_BONO","BONO","IND_ENVEJ","RA_POTENCIAL","RA_PADRES","cluster","cluster_nombre"
"1433","151002","DEPARTAMENTO DE LIMA 2/","YAUYOS","ALIS",33,61,63,107,93,95,59,135,141,124,146,94,107,69,86,46,48,51,157,407,994,157,1101,300,41.5077202543143,14.2597638510445,27.2479564032698,70.6675224646983,1,259.235668789809,3.67,28.5302593659942,5,"Alta Depedencia por juventud"
"1434","151003","DEPARTAMENTO DE LIMA 2/","YAUYOS","ALLAUCA",74,59,48,72,78,79,79,92,85,70,88,85,65,62,44,40,21,41,181,273,728,181,793,208,49.0542244640605,22.8247162673392,26.2295081967213,67.0896785109983,1,150.828729281768,3.8125,26.0504201680672,5,"Alta Depedencia por juventud"
"1435","151004","DEPARTAMENTO DE LIMA 2/","YAUYOS","AYAVIRI",64,28,24,36,32,36,19,27,32,32,37,28,29,26,23,22,19,29,116,148,279,116,308,119,76.2987012987013,37.6623376623377,38.6363636363636,56.7219152854512,1,127.586206896552,2.58823529411765,51.063829787234,2,"Alta Dependencia por envejecimiento"
"1436","151005","DEPARTAMENTO DE LIMA 2/","YAUYOS","AZÁNGARO",33,29,23,47,44,37,33,35,40,42,30,34,32,21,27,17,19,19,85,135,342,85,374,103,50.2673796791444,22.7272727272727,27.5401069518717,66.5480427046263,1,158.823529411765,3.63106796116505,39.5833333333333,5,"Alta Depedencia por juventud"
"1437","151006","DEPARTAMENTO DE LIMA 2/","YAUYOS","CACRA",31,25,34,28,27,36,37,37,36,31,36,32,35,34,30,17,19,15,90,150,300,90,335,115,61.1940298507463,26.865671641791,34.3283582089552,62.037037037037,1,166.666666666667,2.91304347826087,33.0097087378641,2,"Alta Dependencia por envejecimiento"
"1438","151007","DEPARTAMENTO DE LIMA 2/","YAUYOS","CARANIA",13,19,24,31,23,23,31,31,27,33,24,28,32,21,31,15,20,28,56,147,251,56,283,115,60.4240282685512,19.7879858657244,40.6360424028269,62.3348017621145,1,262.5,2.46086956521739,57.1428571428571,2,"Alta Dependencia por envejecimiento"
"1439","151008","DEPARTAMENTO DE LIMA 2/","YAUYOS","CATAHUASI",86,64,69,73,78,77,67,77,84,83,75,65,65,43,44,44,24,41,219,261,679,219,744,196,55.7795698924731,29.4354838709677,26.3440860215054,64.1932700603969,1,119.178082191781,3.79591836734694,31.7073170731707,3,"Bono demográfico activo"
"1440","151009","DEPARTAMENTO DE LIMA 2/","YAUYOS","CHOCOS",49,34,39,76,60,73,57,65,75,84,63,59,60,52,47,40,20,33,122,252,612,122,672,192,46.7261904761905,18.1547619047619,28.5714285714286,68.1541582150101,1,206.55737704918,3.5,29.1208791208791,5,"Alta Depedencia por juventud"
"1441","151010","DEPARTAMENTO DE LIMA 2/","YAUYOS","COCHAS",13,6,9,16,7,13,13,16,9,6,18,30,12,22,11,19,12,19,28,95,128,28,140,83,79.2857142857143,20,59.2857142857143,55.7768924302789,1,339.285714285714,1.68674698795181,51.6666666666667,2,"Alta Dependencia por envejecimiento"
"1442","151011","DEPARTAMENTO DE LIMA 2/","YAUYOS","COLONIA",79,63,74,96,79,74,71,76,88,77,91,97,95,64,70,63,60,75,216,427,749,216,844,332,64.9289099526066,25.5924170616114,39.3364928909953,60.632183908046,1,197.685185185185,2.5421686746988,47.7031802120141,2,"Alta Dependencia por envejecimiento"
