"","UBIGEO","REGION","PROVINCIA","DISTRITO","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+","TD_0_14","TD_60_MAS","TD_15_59","TDD_0_14","TDD_15_64","TDD_65_MAS","TDD_PER","TDD_JOVE","TDD_VEJEZ","TASA_BONO","BONO","IND_ENVEJ","RA_POTENCIAL","RA_PADRES","cluster","cluster_nombre"
"17","010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",35,38,59,57,52,74,78,72,83,53,39,47,34,28,21,17,8,9,132,117,555,132,589,83,36.5025466893039,22.4108658743633,14.0916808149406,73.2587064676617,1,88.6363636363636,7.09638554216868,14.1666666666667,5,"Alta Depedencia por juventud"
"18","010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",13,11,17,19,21,19,19,32,29,26,22,21,27,20,8,10,7,3,41,75,208,41,235,48,37.8723404255319,17.4468085106383,20.4255319148936,72.5308641975309,1,182.926829268293,4.89583333333333,14.2857142857143,5,"Alta Depedencia por juventud"
"19","010119","AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO",59,35,48,54,34,45,52,63,48,45,29,37,27,15,14,11,7,7,142,81,407,142,434,54,45.1612903225806,32.7188940092166,12.4423963133641,68.8888888888889,1,57.0422535211268,8.03703703703704,15.0537634408602,5,"Alta Depedencia por juventud"
"20","010120","AMAZONAS","CHACHAPOYAS","SOLOCO",96,73,90,97,91,98,113,121,93,64,79,80,52,44,36,29,15,16,259,192,836,259,888,140,44.9324324324324,29.1666666666667,15.7657657657658,68.997668997669,1,74.1312741312741,6.34285714285714,14.6919431279621,5,"Alta Depedencia por juventud"
"21","010121","AMAZONAS","CHACHAPOYAS","SONCHE",25,18,16,19,22,22,24,31,21,28,19,13,8,12,7,3,2,2,59,34,199,59,207,26,41.0628019323672,28.5024154589372,12.56038647343,70.8904109589041,1,57.6271186440678,7.96153846153846,10,5,"Alta Depedencia por juventud"
"22","010201","AMAZONAS","BAGUA","BAGUA",2544,2908,2692,2791,2386,2518,2319,2479,2067,1986,1549,1430,1115,746,523,292,126,110,8144,2912,19525,8144,20640,1797,48.1637596899225,39.4573643410853,8.70639534883721,67.4928877407541,1,35.7563850687623,11.4858096828047,5.76453346360528,3,"Bono demográfico activo"
"23","010202","AMAZONAS","BAGUA","ARAMANGO",984,957,934,969,813,762,733,780,669,576,479,403,298,207,148,97,60,40,2875,850,6184,2875,6482,552,52.8694847269361,44.3535945695773,8.51589015735884,65.4152790392572,1,29.5652173913043,11.7427536231884,8.47457627118644,3,"Bono demográfico activo"
"24","010203","AMAZONAS","BAGUA","COPALLIN",334,308,377,390,308,274,325,422,385,350,223,213,174,155,119,75,31,28,1019,582,2890,1019,3064,408,46.5731070496084,33.257180156658,13.3159268929504,68.2253395680249,1,57.1148184494603,7.50980392156863,9.67213114754098,3,"Bono demográfico activo"
"25","010204","AMAZONAS","BAGUA","EL PARCO",143,100,88,105,82,94,106,124,109,96,62,72,58,35,33,27,10,9,331,172,850,331,908,114,49.0088105726872,36.4537444933921,12.5550660792952,67.110125646711,1,51.963746223565,7.96491228070175,9.89583333333333,3,"Bono demográfico activo"
"26","010205","AMAZONAS","BAGUA","IMAZA",7704,5003,4264,3769,2798,2202,1948,1951,1499,1319,841,589,483,451,249,161,63,52,16971,1459,16916,16971,17399,976,103.149606299213,97.540088510834,5.60951778837864,49.2248062015504,0,8.59701844322668,17.8268442622951,6.01150026136958,4,"Transición al envejecimiento"
"27","010206","AMAZONAS","BAGUA","LA PECA",478,419,511,552,463,445,471,591,481,408,330,353,271,198,163,96,62,68,1408,858,4094,1408,4365,587,45.7044673539519,32.2565864833906,13.4478808705613,68.6320754716981,1,60.9375,7.43611584327087,13.6268343815514,5,"Alta Depedencia por juventud"
"28","010301","AMAZONAS","BONGARÁ","JUMBILLA",95,103,117,118,108,93,66,65,79,79,57,66,71,38,32,30,13,12,315,196,731,315,802,125,54.8628428927681,39.2768079800499,15.5860349127182,64.573268921095,1,62.2222222222222,6.416,12.8865979381443,3,"Bono demográfico activo"
"29","010302","AMAZONAS","BONGARÁ","CHISQUILLA",34,27,20,15,19,27,30,21,27,24,17,14,11,11,11,3,3,1,81,40,194,81,205,29,53.6585365853659,39.5121951219512,14.1463414634146,65.0793650793651,1,49.3827160493827,7.06896551724138,9.52380952380952,3,"Bono demográfico activo"
"30","010303","AMAZONAS","BONGARÁ","CHURUJA",32,17,12,16,15,23,18,25,20,21,21,20,12,10,9,6,4,5,61,46,179,61,191,34,49.738219895288,31.9371727748691,17.8010471204188,66.7832167832168,1,75.4098360655738,5.61764705882353,16.9811320754717,3,"Bono demográfico activo"
"31","010304","AMAZONAS","BONGARÁ","COROSHA",68,92,59,94,64,60,68,70,60,58,35,30,28,17,11,5,6,4,219,71,539,219,567,43,46.2081128747795,38.6243386243386,7.58377425044092,68.3956574185766,1,32.4200913242009,13.1860465116279,10.752688172043,3,"Bono demográfico activo"
"32","010305","AMAZONAS","BONGARÁ","CUISPES",55,41,50,66,39,49,52,56,57,41,38,39,31,17,14,11,7,7,146,87,437,146,468,56,43.1623931623932,31.1965811965812,11.965811965812,69.8507462686567,1,59.5890410958904,8.35714285714286,12.962962962963,5,"Alta Depedencia por juventud"
"33","010306","AMAZONAS","BONGARÁ","FLORIDA",454,502,589,634,523,476,465,464,460,432,333,264,210,162,105,77,39,38,1545,631,4051,1545,4261,421,46.1394038957991,36.259094109364,9.88030978643511,68.4278143568332,1,40.8414239482201,10.1211401425178,9.54151177199504,3,"Bono demográfico activo"
"34","010307","AMAZONAS","BONGARÁ","JAZAN",502,631,672,692,589,615,521,591,506,489,401,372,322,232,164,106,63,66,1805,953,4776,1805,5098,631,47.7834444880345,35.4060415849353,12.3774029030993,67.6665781789222,1,52.797783933518,8.07923930269414,11.7808219178082,3,"Bono demográfico activo"
"35","010308","AMAZONAS","BONGARÁ","RECTA",10,17,10,11,8,18,16,18,24,20,16,16,8,10,4,4,4,4,37,34,147,37,155,26,40.6451612903226,23.8709677419355,16.7741935483871,71.1009174311927,1,91.8918918918919,5.96153846153846,20,5,"Alta Depedencia por juventud"
"36","010309","AMAZONAS","BONGARÁ","SAN CARLOS",23,20,22,23,32,57,49,56,49,59,52,39,36,31,15,12,6,8,65,108,416,65,452,72,30.3097345132743,14.3805309734513,15.929203539823,76.7402376910017,1,166.153846153846,6.27777777777778,11.0236220472441,5,"Alta Depedencia por juventud"
"37","010310","AMAZONAS","BONGARÁ","SHIPASBAMBA",129,124,133,137,133,137,163,160,141,118,94,75,83,40,43,23,8,9,386,206,1158,386,1241,123,41.0153102336825,31.1039484286865,9.91136180499597,70.9142857142857,1,53.3678756476684,10.0894308943089,6.74603174603175,5,"Alta Depedencia por juventud"
"38","010311","AMAZONAS","BONGARÁ","VALERA",61,47,37,64,44,60,73,69,60,48,38,54,37,32,22,11,8,11,145,121,510,145,547,84,41.8647166361974,26.508226691042,15.3564899451554,70.4896907216495,1,83.448275862069,6.51190476190476,14.7286821705426,5,"Alta Depedencia por juventud"
"39","010312","AMAZONAS","BONGARÁ","YAMBRASBAMBA",488,507,568,544,409,462,498,450,401,325,235,196,178,127,68,57,26,23,1563,479,3520,1563,3698,301,50.4056246619795,42.2660897782585,8.13953488372093,66.4868752247393,1,30.6461932181702,12.2857142857143,8.04597701149425,3,"Bono demográfico activo"
"40","010401","AMAZONAS","CONDORCANQUI","NIEVA",8320,3441,2313,2033,1446,1123,1090,1009,791,656,397,329,256,222,121,58,22,14,14074,693,8874,14074,9130,437,158.937568455641,154.151150054765,4.78641840087623,38.6193477433273,0,4.92397328406992,20.8924485125858,3.66598778004073,4,"Transición al envejecimiento"
"41","010402","AMAZONAS","CONDORCANQUI","EL CENEPA",3681,2074,1705,1549,1102,865,733,715,538,458,270,207,142,243,116,38,19,8,7460,566,6437,7460,6579,424,119.835841313269,113.391092871257,6.44474844201246,45.488487865588,0,7.58713136729223,15.5165094339623,4.36187399030695,4,"Transición al envejecimiento"
"42","010403","AMAZONAS","CONDORCANQUI","RÍO SANTIAGO",4407,2849,2533,2211,1557,1177,1029,997,768,658,392,327,204,208,113,49,13,7,9789,594,9116,9789,9320,390,109.216738197425,105.032188841202,4.18454935622318,47.7973229396379,0,6.06803555010726,23.8974358974359,2.16684723726977,4,"Transición al envejecimiento"
"43","010501","AMAZONAS","LUYA","LAMUD",112,154,182,218,167,162,129,144,160,128,124,154,126,74,73,51,44,41,448,409,1386,448,1512,283,48.3465608465608,29.6296296296296,18.7169312169312,67.4097191261703,1,91.2946428571429,5.34275618374558,21.039603960396,5,"Alta Depedencia por juventud"
"44","010502","AMAZONAS","LUYA","CAMPORREDONDO",677,799,828,812,600,509,514,604,543,473,322,302,259,167,134,84,39,47,2304,730,4679,2304,4938,471,56.1968408262454,46.6585662211422,9.53827460510328,64.0217814080124,1,31.6840277777778,10.484076433121,9.73952434881087,1,"Depedencia juvenil moderada"
"45","010503","AMAZONAS","LUYA","COCABAMBA",219,216,217,208,122,151,135,157,134,77,67,77,59,39,43,20,12,10,652,183,1128,652,1187,124,65.3748946925021,54.9283909014322,10.4465037910699,60.4686704024452,1,28.0674846625767,9.57258064516129,10.8374384236453,1,"Depedencia juvenil moderada"
"46","010504","AMAZONAS","LUYA","COLCAMAR",126,124,132,159,139,157,126,156,124,111,96,98,84,71,45,36,23,18,382,277,1166,382,1250,193,46,30.56,15.44,68.4931506849315,1,72.5130890052356,6.47668393782383,14.7482014388489,5,"Alta Depedencia por juventud"
"47","010505","AMAZONAS","LUYA","CONILA",168,139,165,159,133,149,126,142,139,108,93,86,83,66,50,24,19,19,472,261,1135,472,1218,178,53.3661740558292,38.752052545156,14.6141215106732,65.203426124197,1,55.2966101694915,6.84269662921348,14.5038167938931,3,"Bono demográfico activo"
"48","010506","AMAZONAS","LUYA","INGUILPATA",32,16,21,42,21,30,27,35,41,40,20,25,29,23,19,17,5,9,69,102,281,69,310,73,45.8064516129032,22.258064516129,23.5483870967742,68.5840707964602,1,147.826086956522,4.24657534246575,18.9189189189189,5,"Alta Depedencia por juventud"
"49","010507","AMAZONAS","LUYA","LONGUITA",65,64,91,84,59,70,72,77,60,56,31,29,28,23,22,14,3,9,220,99,538,220,566,71,51.4134275618375,38.86925795053,12.5441696113074,66.0443407234539,1,45,7.97183098591549,13.6363636363636,3,"Bono demográfico activo"
"50","010508","AMAZONAS","LUYA","LONYA CHICO",58,42,57,76,73,63,49,50,65,63,47,41,33,31,24,13,12,10,157,123,527,157,560,90,44.1071428571429,28.0357142857143,16.0714285714286,69.3928128872367,1,78.343949044586,6.22222222222222,18.1818181818182,5,"Alta Depedencia por juventud"
"51","010509","AMAZONAS","LUYA","LUYA",332,294,320,434,284,308,286,291,263,223,206,174,162,118,95,65,40,54,946,534,2469,946,2631,372,50.095020904599,35.9559103002661,14.139110604333,66.6244618890858,1,56.4482029598309,7.07258064516129,17.3431734317343,3,"Bono demográfico activo"
"52","010510","AMAZONAS","LUYA","LUYA VIEJO",36,36,38,41,29,28,25,24,26,22,15,15,12,6,5,7,6,4,110,40,225,110,237,28,58.2278481012658,46.4135021097046,11.8143459915612,63.2,1,36.3636363636364,8.46428571428571,23.8095238095238,1,"Depedencia juvenil moderada"
"53","010511","AMAZONAS","LUYA","MARÍA",57,46,61,70,58,64,69,64,51,47,36,36,33,21,13,14,4,10,164,95,495,164,528,62,42.8030303030303,31.0606060606061,11.7424242424242,70.026525198939,1,57.9268292682927,8.51612903225806,13.3333333333333,5,"Alta Depedencia por juventud"
"54","010512","AMAZONAS","LUYA","OCALLI",292,324,353,401,283,261,252,287,280,235,193,174,167,132,104,68,39,43,969,553,2366,969,2533,386,53.493880773786,38.255033557047,15.238847216739,65.1491769547325,1,57.0691434468524,6.56217616580311,15.3558052434457,3,"Bono demográfico activo"
"55","010513","AMAZONAS","LUYA","OCUMAL",295,289,365,442,353,246,220,268,241,178,157,136,123,104,78,61,32,24,949,422,2241,949,2364,299,52.7918781725888,40.1438240270728,12.6480541455161,65.4485049833887,1,44.4678609062171,7.90635451505017,13.4615384615385,3,"Bono demográfico activo"
"56","010514","AMAZONAS","LUYA","PISUQUIA",448,445,546,571,415,357,337,371,291,253,202,169,140,110,84,56,27,42,1439,459,2966,1439,3106,319,56.6001287830006,46.3296844816484,10.2704443013522,63.8569078947368,1,31.8971507991661,9.73667711598746,13.5029354207436,1,"Depedencia juvenil moderada"
"57","010515","AMAZONAS","LUYA","PROVIDENCIA",136,107,133,158,118,78,87,92,92,79,63,48,45,36,33,15,7,15,376,151,815,376,860,106,56.046511627907,43.7209302325581,12.3255813953488,64.0834575260805,1,40.1595744680851,8.11320754716981,14.1025641025641,1,"Depedencia juvenil moderada"
"58","010516","AMAZONAS","LUYA","SAN CRISTÓBAL",49,39,36,51,44,38,39,39,29,22,28,35,25,14,11,8,6,9,124,73,325,124,350,48,49.1428571428571,35.4285714285714,13.7142857142857,67.0498084291188,1,58.8709677419355,7.29166666666667,17.0454545454545,3,"Bono demográfico activo"
"59","010517","AMAZONAS","LUYA","SAN FRANCISCO DE YESO",69,45,56,49,39,49,50,52,57,55,34,46,30,29,16,15,10,7,170,107,431,170,461,77,53.5791757049892,36.8763557483731,16.7028199566161,65.1129943502825,1,62.9411764705882,5.98701298701299,15.4545454545455,3,"Bono demográfico activo"
"60","010518","AMAZONAS","LUYA","SAN JERÓNIMO",66,35,44,40,27,37,42,46,37,34,33,38,29,23,20,12,12,11,145,107,334,145,363,78,61.4325068870523,39.9449035812672,21.4876033057851,61.9453924914676,1,73.7931034482759,4.65384615384615,23,3,"Bono demográfico activo"
"61","010519","AMAZONAS","LUYA","SAN JUAN DE LOPECANCHA",32,30,34,47,33,23,28,32,21,21,22,23,18,9,10,7,8,8,96,60,250,96,268,42,51.4925373134328,35.8208955223881,15.6716417910448,66.0098522167488,1,62.5,6.38095238095238,25.3968253968254,3,"Bono demográfico activo"
"62","010520","AMAZONAS","LUYA","SANTA CATALINA",229,198,231,220,193,177,171,152,116,97,79,87,60,43,41,14,14,12,658,184,1292,658,1352,124,57.8402366863905,48.6686390532544,9.17159763313609,63.3552014995314,1,27.9635258358663,10.9032258064516,11.5044247787611,1,"Depedencia juvenil moderada"
"63","010521","AMAZONAS","LUYA","SANTO TOMAS",216,220,267,266,204,214,184,208,180,154,138,159,121,99,85,42,41,44,703,432,1707,703,1828,311,55.4704595185996,38.4573304157549,17.0131291028446,64.3209007741027,1,61.4509246088193,5.87781350482315,20.3349282296651,3,"Bono demográfico activo"
"64","010522","AMAZONAS","LUYA","TINGO",120,102,105,97,110,137,121,103,85,91,68,78,58,39,31,16,13,11,327,168,890,327,948,110,46.0970464135021,34.4936708860759,11.6033755274262,68.4476534296029,1,51.3761467889908,8.61818181818182,11.7647058823529,3,"Bono demográfico activo"
"65","010523","AMAZONAS","LUYA","TRITA",104,98,143,164,104,91,99,131,104,96,62,60,42,32,34,17,18,14,345,157,911,345,953,115,48.2686253934942,36.2014690451207,12.0671563483736,67.445152158528,1,45.5072463768116,8.28695652173913,19.5121951219512,3,"Bono demográfico activo"
"66","010601","AMAZONAS","RODRÍGUEZ DE MENDOZA","SAN NICOLÁS",334,543,603,618,440,454,383,507,461,446,387,347,317,212,169,93,59,78,1480,928,4043,1480,4360,611,47.9587155963303,33.9449541284404,14.0137614678899,67.5864207099674,1,62.7027027027027,7.13584288052373,13.035204567079,3,"Bono demográfico activo"
"67","010602","AMAZONAS","RODRÍGUEZ DE MENDOZA","CHIRIMOTO",263,324,344,317,221,245,247,261,177,142,143,77,101,67,38,17,12,18,931,253,1830,931,1931,152,56.0849300880373,48.2133609528742,7.87156913516313,64.0676841406768,1,27.1750805585392,12.7039473684211,9.34579439252336,1,"Depedencia juvenil moderada"
"68","010603","AMAZONAS","RODRÍGUEZ DE MENDOZA","COCHAMAL",38,38,52,53,42,45,49,70,53,45,37,41,30,20,17,9,8,8,128,92,435,128,465,62,40.8602150537634,27.5268817204301,13.3333333333333,70.9923664122137,1,71.875,7.5,14.8148148148148,5,"Alta Depedencia por juventud"
"69","010604","AMAZONAS","RODRÍGUEZ DE MENDOZA","HUAMBO",110,128,166,163,149,146,158,188,193,165,180,197,202,119,100,69,50,45,404,585,1539,404,1741,383,45.2039058012636,23.2050545663412,21.9988512349225,68.8686708860759,1,144.80198019802,4.54569190600522,16.4075993091537,5,"Alta Depedencia por juventud"
"70","010605","AMAZONAS","RODRÍGUEZ DE MENDOZA","LIMABAMBA",110,153,170,158,140,170,152,182,169,179,130,132,122,89,53,43,26,21,433,354,1412,433,1534,232,43.3507170795306,28.2268578878748,15.1238591916558,69.7589813551614,1,81.7551963048499,6.61206896551724,12.2395833333333,5,"Alta Depedencia por juventud"
"71","010606","AMAZONAS","RODRÍGUEZ DE MENDOZA","LONGAR",83,107,110,137,109,106,124,126,126,124,97,108,86,61,58,32,23,31,300,291,1057,300,1143,205,44.1819772528434,26.246719160105,17.9352580927384,69.3567961165049,1,97,5.57560975609756,18.5567010309278,5,"Alta Depedencia por juventud"
"72","010607","AMAZONAS","RODRÍGUEZ DE MENDOZA","MARISCAL BENAVIDES",137,87,86,100,73,109,133,159,109,99,87,86,81,50,60,30,20,20,310,261,955,310,1036,180,47.2972972972973,29.9227799227799,17.3745173745174,67.8899082568807,1,84.1935483870968,5.75555555555556,15.748031496063,5,"Alta Depedencia por juventud"
"73","010608","AMAZONAS","RODRÍGUEZ DE MENDOZA","MILPUC",29,31,29,36,16,26,34,33,34,25,33,27,16,20,11,11,5,5,89,68,264,89,280,52,50.3571428571429,31.7857142857143,18.5714285714286,66.5083135391924,1,76.4044943820225,5.38461538461539,13.1578947368421,3,"Bono demográfico activo"
"74","010609","AMAZONAS","RODRÍGUEZ DE MENDOZA","OMIA",856,1085,1146,1076,772,775,762,883,770,599,399,374,274,190,149,86,41,32,3087,772,6410,3087,6684,498,53.6355475763016,46.1849192100539,7.45062836624775,65.0891031259129,1,25.0080984774862,13.421686746988,6.97230181470869,1,"Depedencia juvenil moderada"
"75","010610","AMAZONAS","RODRÍGUEZ DE MENDOZA","SANTA ROSA",15,37,36,36,24,28,34,46,53,43,35,22,23,21,17,17,10,10,88,98,321,88,344,75,47.3837209302326,25.5813953488372,21.8023255813953,67.8500986193294,1,111.363636363636,4.58666666666667,25,5,"Alta Depedencia por juventud"
"76","010611","AMAZONAS","RODRÍGUEZ DE MENDOZA","TOTORA",13,17,20,23,16,19,25,26,28,30,23,16,16,12,12,8,3,6,50,57,206,50,222,41,40.990990990991,22.5225225225225,18.4684684684685,70.926517571885,1,114,5.41463414634146,16.3636363636364,5,"Alta Depedencia por juventud"
"77","010612","AMAZONAS","RODRÍGUEZ DE MENDOZA","VISTA ALEGRE",383,578,613,541,386,406,377,426,334,277,141,156,94,90,60,26,13,5,1574,288,3044,1574,3138,194,56.3416188655194,50.1593371574251,6.18228170809433,63.9624949041989,1,18.297331639136,16.1752577319588,4.60358056265985,1,"Depedencia juvenil moderada"
"78","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",4846,5382,5626,5796,5022,4674,4505,4993,4324,3764,2582,2373,1921,1481,1059,612,298,259,15854,5630,38033,15854,39954,3709,48.9638083796366,39.6806327276368,9.2831756519998,67.1303997177277,1,35.5115428283083,10.7721757886223,8.10063990692263,3,"Bono demográfico activo"
"79","010702","AMAZONAS","UTCUBAMBA","CAJARURO",1929,2050,2254,2402,2000,1830,1725,1956,1737,1453,1023,916,732,600,495,271,141,120,6233,2359,15042,6233,15774,1627,49.8288322556105,39.5143907696209,10.3144414859896,66.7428281289667,1,37.8469436868282,9.69514443761524,9.77162111568701,3,"Bono demográfico activo"
"80","010703","AMAZONAS","UTCUBAMBA","CUMBA",735,774,870,793,733,674,628,671,609,462,361,346,283,214,160,102,54,52,2379,865,5277,2379,5560,582,53.2553956834532,42.7877697841727,10.4676258992806,65.2505574463091,1,36.3598150483396,9.553264604811,10.7070707070707,3,"Bono demográfico activo"
"81","010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",578,546,639,622,562,544,502,548,476,432,283,252,213,168,126,72,31,26,1763,636,4221,1763,4434,423,49.3008570139829,39.7609382047812,9.53991880920162,66.9788519637462,1,36.0748723766307,10.4822695035461,7.62032085561497,3,"Bono demográfico activo"
"82","010705","AMAZONAS","UTCUBAMBA","JAMALCA",606,630,724,702,552,568,513,554,491,453,302,257,186,176,131,87,41,41,1960,662,4392,1960,4578,476,53.2110091743119,42.8134556574924,10.3975535168196,65.2694610778443,1,33.7755102040816,9.61764705882353,11.006711409396,3,"Bono demográfico activo"
"83","010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",905,1120,1160,1103,863,911,829,953,864,719,534,465,358,298,198,129,50,54,3185,1087,7241,3185,7599,729,51.5067772075273,41.9134096591657,9.59336754836163,66.0036480500304,1,34.1287284144427,10.4238683127572,7.66396462785556,3,"Bono demográfico activo"
"84","010707","AMAZONAS","UTCUBAMBA","YAMON",307,253,273,291,270,282,261,253,236,217,150,119,135,67,59,36,20,19,833,336,2079,833,2214,201,46.7028003613369,37.6242095754291,9.07859078590786,68.1650246305419,1,40.3361344537815,11.0149253731343,9.65346534653465,3,"Bono demográfico activo"
"85","020101","ÁNCASH","HUARAZ","HUARAZ",4688,6840,6087,5751,4630,5145,5710,5835,5274,4435,3191,3083,2628,2085,1653,1110,780,753,17615,9009,43054,17615,45682,6381,52.528348145878,38.5600455321571,13.9683026137209,65.5615832831023,1,51.1439114391144,7.15906597711957,17.2208492473601,3,"Bono demográfico activo"
"86","020102","ÁNCASH","HUARAZ","COCHABAMBA",153,176,157,154,108,126,118,98,107,88,99,76,72,54,59,40,41,35,486,301,974,486,1046,229,68.3556405353729,46.4627151051625,21.8929254302103,59.3980692788189,1,61.9341563786008,4.56768558951965,30.7692307692308,1,"Depedencia juvenil moderada"
"87","020103","ÁNCASH","HUARAZ","COLCABAMBA",20,27,13,13,11,18,30,23,24,13,11,15,22,15,13,10,6,7,60,73,158,60,180,51,61.6666666666667,33.3333333333333,28.3333333333333,61.8556701030928,1,121.666666666667,3.52941176470588,27.0833333333333,2,"Alta Dependencia por envejecimiento"
"88","020104","ÁNCASH","HUARAZ","HUANCHAY",73,120,106,170,129,126,102,122,99,96,76,92,89,85,58,31,47,56,299,366,1012,299,1101,277,52.3160762942779,27.1571298819255,25.1589464123524,65.6529516994633,1,122.408026755853,3.97472924187726,40.0778210116732,5,"Alta Depedencia por juventud"
"89","020105","ÁNCASH","HUARAZ","INDEPENDENCIA",7022,9334,7243,6853,5734,6541,7323,7770,6746,5973,4328,4172,3579,2839,2331,1437,1016,1020,23599,12222,55440,23599,59019,8643,54.6298649587421,39.9854284213558,14.6444365373863,64.6705602612288,1,51.790330098733,6.82853175980562,16.8556999751635,3,"Bono demográfico activo"
"90","020106","ÁNCASH","HUARAZ","JANGAS",386,406,387,405,359,429,489,500,379,375,266,221,210,189,159,102,81,48,1179,789,3423,1179,3633,579,48.3897605284888,32.4525185796862,15.9372419488026,67.3900946021146,1,66.9211195928753,6.27461139896373,18.5078909612626,3,"Bono demográfico activo"
"91","020107","ÁNCASH","HUARAZ","LA LIBERTAD",118,103,82,85,86,91,105,95,67,66,54,50,43,32,28,24,18,24,303,169,699,303,742,126,57.8167115902965,40.8355795148248,16.9811320754717,63.3646456020495,1,55.7755775577558,5.88888888888889,28.5714285714286,3,"Bono demográfico activo"
"92","020108","ÁNCASH","HUARAZ","OLLEROS",174,174,150,147,136,201,208,217,189,157,155,129,121,128,102,88,64,67,498,570,1539,498,1660,449,57.0481927710843,30,27.0481927710843,63.67472190257,1,114.457831325301,3.69710467706013,32.3456790123457,2,"Alta Dependencia por envejecimiento"
"93","020109","ÁNCASH","HUARAZ","PAMPAS GRANDE",46,89,64,69,62,60,71,72,72,56,57,71,65,50,35,30,25,45,199,250,590,199,655,185,58.6259541984733,30.381679389313,28.2442748091603,63.0413859480269,1,125.628140703518,3.54054054054054,36.2694300518135,2,"Alta Dependencia por envejecimiento"
"94","020110","ÁNCASH","HUARAZ","PARIACOTO",419,449,455,500,401,489,455,442,352,310,232,236,203,141,128,93,69,86,1323,720,3417,1323,3620,517,50.828729281768,36.5469613259669,14.2817679558011,66.3003663003663,1,54.421768707483,7.00193423597679,23.0998509687034,3,"Bono demográfico activo"
"95","020111","ÁNCASH","HUARAZ","PIRA",250,277,256,276,253,311,309,337,268,217,199,160,156,122,99,73,46,44,783,540,2330,783,2486,384,46.9428801287208,31.4963797264682,15.4465004022526,68.0536545305229,1,68.9655172413793,6.47395833333333,17.4757281553398,5,"Alta Depedencia por juventud"
"96","020112","ÁNCASH","HUARAZ","TARICA",543,649,665,600,512,677,717,704,548,466,358,351,269,251,180,138,78,83,1857,999,4933,1857,5202,730,49.7308727412534,35.6978085351788,14.0330642060746,66.78649377327,1,53.7964458804523,7.12602739726027,16.4621676891616,3,"Bono demográfico activo"
"97","020201","ÁNCASH","AIJA","AIJA",110,118,163,177,150,132,153,151,153,116,121,110,116,95,64,56,46,53,391,430,1263,391,1379,314,51.1240029006526,28.3538796229152,22.7701232777375,66.1708253358925,1,109.97442455243,4.39171974522293,28.5302593659942,5,"Alta Depedencia por juventud"
"98","020202","ÁNCASH","AIJA","CORIS",145,99,143,166,99,100,91,107,88,81,68,77,78,50,33,30,29,45,387,265,877,387,955,187,60.1047120418848,40.5235602094241,19.5811518324607,62.4591236102028,1,68.4754521963824,5.10695187165775,33.1838565022422,3,"Bono demográfico activo"
"99","020203","ÁNCASH","AIJA","HUACLLAN",25,24,23,25,23,29,28,24,23,17,13,13,17,15,5,3,2,6,72,48,195,72,212,31,48.5849056603774,33.9622641509434,14.622641509434,67.3015873015873,1,66.6666666666667,6.83870967741935,18.6046511627907,3,"Bono demográfico activo"
"100","020204","ÁNCASH","AIJA","LA MERCED",120,103,97,133,95,107,101,114,89,86,63,64,60,49,49,35,27,20,320,240,852,320,912,180,54.8245614035088,35.0877192982456,19.7368421052632,64.5892351274787,1,75,5.06666666666667,25.1336898395722,3,"Bono demográfico activo"
"101","020205","ÁNCASH","AIJA","SUCCHA",40,29,41,59,39,47,50,53,50,40,39,32,46,35,18,28,18,21,110,166,409,110,455,120,50.5494505494505,24.1758241758242,26.3736263736264,66.4233576642336,1,150.909090909091,3.79166666666667,33.3333333333333,5,"Alta Depedencia por juventud"
"102","020301","ÁNCASH","ANTONIO RAYMONDI","LLAMELLIN",242,310,296,336,205,185,167,210,196,164,126,144,127,120,116,80,76,75,848,594,1733,848,1860,467,70.6989247311828,45.5913978494624,25.1075268817204,58.5826771653543,1,70.0471698113208,3.98286937901499,38.0352644836272,1,"Depedencia juvenil moderada"
"103","020302","ÁNCASH","ANTONIO RAYMONDI","ACZO",151,171,160,156,112,136,91,134,98,89,83,80,63,44,43,48,32,38,482,268,979,482,1042,205,65.9309021113244,46.257197696737,19.6737044145873,60.266049739734,1,55.6016597510373,5.08292682926829,30.9734513274336,1,"Depedencia juvenil moderada"
"104","020303","ÁNCASH","ANTONIO RAYMONDI","CHACCHO",78,87,104,131,89,81,76,89,67,65,63,69,59,58,42,32,25,32,269,248,730,269,789,189,58.0481622306717,34.0937896070976,23.9543726235741,63.2718524458701,1,92.1933085501859,4.17460317460317,29.8429319371728,3,"Bono demográfico activo"
"105","020304","ÁNCASH","ANTONIO RAYMONDI","CHINGAS",150,183,191,179,107,87,102,121,114,91,96,106,80,69,58,48,25,46,524,326,1003,524,1083,246,71.0987996306556,48.3841181902124,22.7146814404432,58.4457636265515,1,62.2137404580153,4.40243902439024,25.177304964539,1,"Depedencia juvenil moderada"
